DIMENSIONES;RECURSO;NOMBRE DEL RECURSO/PROGRAMA;DESCRIPCIÓN DEL RECURSO;DIRECCIÓN;LOCALIDAD;CONTACTO;ZONA
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº38;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 208 y 519, La Plata, Buenos Aires;Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº41 ""ESCUELA DEL BICENTENARIO""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 236 e/ 496 y 498) Abasto, Buenos Aires;Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº73;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;516 BIS e/ 207 y 208, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº86;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 492 N° 9016, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;SAN AGUSTIN;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 515 e/ 210 y 211, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº467;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;CALLE 208 y 519, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centros Socioeducativos Comunitarios;EL PATIO LA COMARCA;Orientados a la revinculación de los alumnos y al fortalecimiento de las trayectorias educativas de jóvenes de barrios populares en situación de vulnerabilidad, brindando apoyo escolar, social y participación comunitaria. Se realizan eventos culturales, talleres, actividades como cine, etc. Muchos de estos también realizan actividades en búsqueda de lograr incorporación al mundo del trabajo digno.;"CALLE 496 y 236, Abasto; La Plata, Buenos Aires";Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuela De Educación Secundaria Agraria;ESCUELA DE EDUCACIÓN SECUNDARIA AGROPECUARIA N° 1;La E.E.S.A N° 1 de Abasto es la única escuela agropecuaria estatal del distrito. es de jornada extendida y al final los siete años de estudio se obtiene el titulo de Técnico en Producción Agropecuaria.;RUTA 36 KM. 49,500, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;María Auxiliadora;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;AV. 520 N° 11698, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;IPUA comunidad apostólica la plata;es una iglesia que forma parte de la Iglesia Pentecostal Unida de la Argentina (IPUA). La IPUA, a su vez, está vinculada a la Iglesia Pentecostal Unida Internacional (UPCI), una denominación pentecostal presente en varios países. La IPUA en Argentina tiene como objetivo llevar el evangelio de Jesucristo a todo el país;CALLE 200 y 526, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club San Ponciano;institución donde se realizan actividades culturales y deportivas diversas;CALLE 516 BIS y 211, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club atletico Abastense Argentino;Es un club deportivo y social que ofrece diversas actividades como fútbol, karate, bachata, salsa y taekwondo, entre otras.;CALLE 520 y 208, Abasto, La Plata, Buenos Aires;Abasto;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº76;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;RUTA 36 KM 54, City Bell, La Plata, Buenos Aires;Abasto;;ZONA OESTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA– LISANDRO OLMOS;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CALLE 158 y 46, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
SALUD ADOLESCENTE;Hospitales Especializados;HOSPITAL SUBZONAL ESPECIALIZADO SAN LUCAS DE OLMOS;Especializado en discapacidad en niñxs y adolescentes;CALLE 51 e/ 192 y 197, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 45;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 46 y 158, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 18;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 45 e/ 187 y 188, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº9;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 199 N° 715, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº61;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 52 N° 7040, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº77;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;AV. 44 N° 3030, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº91;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 52 e/ 207 y 208, Lisandro Olmos, La Plata,Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº9;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 196 N° 669, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº77;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 170 N° 569, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA SECUNDARIA CRISTIANA DE FORMACIÓN INTEGRAL EMMANUEL;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 200 e/ 40 y 41, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuela De Educación Secundaria Técnico;ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº6 - EXTENSIÓN I;Son instituciones de enseñanza que brindan educación técnico profesional. Agregan a la secundaria básica un año más de escolaridad a través de las prácticas profesionalizantes;CALLE 197 e/149 y 152, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº460;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;CALLE 199 e/ 46 y 47, Lisandro Olmos, La Plata, Buenso Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO N°470;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;CALLE 197 e/ 49 y 50, Lisandro Olmos, La Plata, Buenos Aires ;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO N°473;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;CALLE 47 y 193, UNIDAD CARCELARIA Nº25, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centros Socioeducativos Comunitarios;CENTRO SOCIOEDUCATIVO Y COMUNITARIO ARROYITO;Orientados a la revinculación de los alumnos y al fortalecimiento de las trayectorias educativas de jóvenes de barrios populares en situación de vulnerabilidad, brindando apoyo escolar, social y participación comunitaria. Se realizan eventos culturales, talleres, actividades como cine, etc. Muchos de estos también realizan actividades en búsqueda de lograr incorporación al mundo del trabajo digno.;CALLE 206 y 47, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
SEGURIDAD;Comisarías;COMISARÍA LA PLATA 15°;Son organismos cuya responsabilidad fundamental es la de investigar delitos, preservar el orden público y proteger los derechos de los ciudadanos. Realizan acciones de prevención y llevan a cabo investigaciones dentro de su área.;AV. 44 y 202, Lisandro Olmos, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;PANTALON CORTITO;Es una organización comunitaria dedicada a la protección y al fortalecimiento integral de niños, niñas, adolescentes y sus familias, surgida  en 1987. Trabajan en diferentes iniciativas entre las cuales se destacan aquellas dirigidas a las demandas más acuciantes como: La auto-construcción de viviendas, la cristalización de los comedores populares y copas de leche en los periodos hiperinflacionarios.  Poseen además diversos proyectos asociativos, cooperativos y solidarios vinculados a la temática medioambiental;CALLE 40 BIS N° 2224, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN CIVIL LA CASA ;La Casa es un colectivo de trabajo en educación popular que viene desarrollando actividades con la comunidad del barrio El Retiro,  en vinculación con todos los actores del barrio, Busca acompañar a las familias en la tarea de crianza de sus hijxs, ofrecer un space de trabajo conjunto y contención, generar condiciones para el desarrollo educativo de lxs niñxs estimulando la creatividad y la curiosidad, construir redes de apoyo y organización en el barrio que mejoren las condiciones de vida, ofrecer un espacio de encuentro para lxs jóvenes donde construyan junto a otrxs, proyectos colectivos para sus vidas. ;AV. 44 N° 3025, Lisandro Olmos, La Plata, Provincia de Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Envión;Sede El Rincón;ENVIÓN busca fortalecer el rol socioeconómico, político y cultural de adolescentes y jóvenes de la Provincia de Buenos Aires en situación de vulnerabilidad;CALLE 138 y 442, El Retiro, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Envión;Sede Olmos;ENVIÓN busca fortalecer el rol socioeconómico, político y cultural de adolescentes y jóvenes de la Provincia de Buenos Aires en situación de vulnerabilidad;CALLE 148 y 46, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;COLECTIVO LA CASA;"es una organización comunitaria que trabaja en el ámbito socio-ambiental, enfocándose en la lucha por un mundo inclusivo y la transformación de la tristeza en motor. Se describen como una organización que ""abraza"" y promueve la ternura como herramienta.";AV. 44 N° 3025, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;MUJERES ADELANTE;Mujeres Adelante posee un comedor comunitario ubicado en el barrio El Retiro de la localidad de Lisandro Olmos, en el partido de La Plata;CALLE 160 N° 900, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;COMEDOR PASITO DE AMOR UTT;Se trata de un espacio donde se brinda asistencia alimentaria a niños y adolescentes de la zona. El comedor es parte de una iniciativa más amplia de trabajo comunitario, donde vecinos y la comuna colaboran para ofrecer alimentos accesibles a la población local.;CALLE 208 N° 2344, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;San Benito;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 200 N° 549, Lisandro Olmos;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Unidos de Olmos;institución donde se realizan actividades culturales y deportivas diversas;AV. 44 Nº 4439, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Banda Roja;institución donde se realizan actividades culturales y deportivas diversas;CALLE 155 y 41, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club San Carlos 156;institución donde se realizan actividades culturales y deportivas diversas;CALLE 46 y 156, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club Social y Deportivo Ernesto Che Guevara;Es un centro cultural y polideportivo que ofrece diversas actividades y talleres para la comunidad.;CALLE 173 Y 51 , Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Centro fomento Estrella de olmos;Es una entidad de fomento, es decir, una institución sin fines de lucro que busca promover el desarrollo social y cultural de la comunidad, en este caso, de la zona de Lisandro Olmos.;CALLE 185 e/ 70 y 71, Lisandro Olmos, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro de Formacion Profesional;CENTRO DE FORMACIÓN PROFESIONAL Nº420;Son unidades educativas que tienen como objeto la formación en saberes y competencias de nivel técnico, adecuadas a las demandas socioproductivas y científicas;CALLE 43 N° 622, La Plata, Buenos Aires;Lisandro Olmos;;ZONA OESTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO CERRADO ALMAFUERTE;Ámbito de cumplimiento de medidas de restricción de libertad ambulatoria para los/las adolescentes punibles entre 16 y 17 años de edad.;AV. 520 y 183, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
JUSTICIA JUVENIL Y FAMILIA;Centros Juveniles;CENTRO DE PREEGRESO ALMAFUERTE;Este Residencia es un ámbito de cumplimiento de medidas de restricción de libertad ambulatoria para los/las adolescentes punibles entre 16 y 17 años de edad.;AV. 520 y 183, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROTECCION ESPECIAL;Servicios Locales de Promoción y Protección de Derechos.;SERVICIO LOCAL DE PYP DE DERECHOS DE NNYA–MELCHOR ROMERO ABASTO;un Servicio Local es un organismo municipal encargado de promover y proteger los derechos de niños, niñas y adolescentes. Funciona como una oficina de promoción y protección de derechos, interviniendo en situaciones donde se vulneran los derechos de los menores de edad. Su objetivo principal es garantizar que los niños, niñas y adolescentes tengan acceso a sus derechos y brindarles protección y asistencia.;CALLE 169 e/ 518 y 519, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
SALUD ADOLESCENTE;Hospitales Especializados;HOSPITAL INTERZONAL ESPECIALIZADO NEUROPSIQUIÁTRICO DE AGUDOS Y CRÓNICOS “DR. ALEJANDRO. KORN”;Es un centro de salud especializado en agudos y crónicos con un enfoque en la salud mental.;CALLE 520 y 175, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
SALUD ADOLESCENTE;Hospitales Especializados;HOSPITAL SUBZONAL ESPECIALIZADO JOSÉ INGENIEROS;Especializado en adultos con discapacidad. SAPS (Servicio de Área Programática y Redes en Salud) Medicina general, psicología, trabajo social, enfermería, Asesorías en salud sexual, vacunación, abordaje a las violencias por motivos de género.;CALLE 161 y 514, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 31;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 186 y 492 Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 34;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 156 e/ 528 y 529, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO COMUNITARIO DE SALUD MENTAL Y CONSUMOS PROBLEMÁTICOS LAS ROSAS;Consultoría y asesoría en salud mental (para niñxs y adultxs), abordaje a las violencias, talleres recreativos y terapéuticos, yoga, apoyo escolar, deportes, entre otros.;CALLE 159 y 515 S/N;Melchor Romero;;ZONA OESTE
SALUD ADOLESCENTE;CPA;CENTRO PROVINCIAL DE ATENCIÓN;Son dispositivos públicos de salud, de atención y cuidado, con base territorial y comunitaria, en los que se brindan prestaciones de tipo ambulatoria. Tienen el propósito de prevenir, detectar, diagnosticar problemáticas vinculadas a salud mental, y promover y desarrollar procesos de atención ante padecimientos en salud mental, situaciones de consumos problemáticos y de violencia que se presentan en el ámbito de la salud pública.;CALLE 160 N°. 885, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
SALUD ADOLESCENTE;CPA;CENTRO PROVINCIAL DE ATENCIÓN;Son dispositivos públicos de salud, de atención y cuidado, con base territorial y comunitaria, en los que se brindan prestaciones de tipo ambulatoria. Tienen el propósito de prevenir, detectar, diagnosticar problemáticas vinculadas a salud mental, y promover y desarrollar procesos de atención ante padecimientos en salud mental, situaciones de consumos problemáticos y de violencia que se presentan en el ámbito de la salud pública.;CALLE 515 ESQ. 159, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº48;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;RUTA 36 KM. 67, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº78 ""AZUCENA VILLAFLOR""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 517 e/ 173 y 174, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA N°95;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 524 y 158, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;MADRE DE LA DIVINA GRACIA.;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 171 N° 912, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO ESSERI NIVEL SECUNDARIO;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 467 y 168, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO N°474;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;CALLE 520 y  176-UNIDAD PENAL NÚMERO 45, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Especializado Para Adultos Con Orientación En Salud (Cebas);C.E.B.A.S. Nº48 - EXTENSIÓN Nº2480;Centro Especializado de Bachilleratos para Adultos con orientación en Salud Pública. Tiene una duración de 3 años;AV. 520 e,/ 175 y 176, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro de Formacion Profesional;CENTRO DE FORMACIÓN PROFESIONAL Nº411;Son unidades educativas que tienen como objeto la formación en saberes y competencias de nivel técnico, adecuadas a las demandas socioproductivas y científicas;CALLE 518 N° 7550, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
SEGURIDAD;Comisarías;COMISARÍA LA PLATA 14°;Son organismos cuya responsabilidad fundamental es la de investigar delitos, preservar el orden público y proteger los derechos de los ciudadanos. Realizan acciones de prevención y llevan a cabo investigaciones dentro de su área.;CALLE 122 ESQ. 49, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;FUNDACIÓN EMANUEL;Desde los inicios de la Fundación se desarrollan talleres dirigidos a NNyAs con el objetivo de que  adquieran diversos conocimientos y capacidades a través de actividades, educativas, lúdicas, deportivas y artísticas, que estimulen la imaginación y la creatividad. Del mismo modo, y desde la perspectiva de derechos, se apunta a generar con y entre NNyAs un ambiente que promueva lazos cooperativos y solidarios. El Trabajo en Red  con el restoe de las Instituciones del barrio es muy importante porque potencia las posibilidades y recursos de todos/as los/as interesados/as en el tema expandiendo el alcance de la acción en pos de los derechos de NNyAs. ;CALLE 474 y 186, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN CIVIL ENTRE NOS DE LA PLATA ;Nuestro equipo de trabajo se dedica a asistir a niños y niñas y sus familias en cada área física espiritual y emocional así como también de supervivencia. La asociación surge como respuesta a la preocupación manifiesta en diferentes sectores, y busca Articulación y dialogo con organizaciones y actores sociales en relación a actividades tendientes a promoción y protección de derechos de NNYA, como iglesias cristianas dedicadas a la transformación de niños y adolescentes en distintas áreas como adicciones ( drogadependientes) dando contencion a las familias para una mejor protección de sus derechos. ;CALLE 153 N° 91, Melchor Romero, La Plata, Buenos Aires;Melchor Romero;;ZONA OESTE
